"","labels","tcdiff","twopath","density","mutual","balance","ctri","cycle4","idegreesquare","intransitive","simmelianties","nearsimmelian","simmelian","odegreesquare","diff_degree_pop","sum_degree_pop","istar2","istar3","ostar2","ostar3"
"1213",0,199.252915451895,712.882653061225,0.311111111111111,16.0714285714286,22.5,199.252915451895,960.683699500209,88.4440400363968,406.183301495772,0,498.050305040431,0,81.073703366697,7.37033666969974,169.517743403094,351.275510204082,996.264577259476,258.290816326531,564.549927113703
"1214",0,459.078717201166,621.551020408163,0.388888888888889,12.8571428571429,12.8571428571429,187.032069970845,437.217825905872,98.2007722007722,322.686289694234,0,551.916528286374,0,86.9420849420849,11.2586872586873,185.142857142857,403.34693877551,884.151603498542,390.122448979592,714.122448979591
"1215",0,486.851990984222,728.925619834711,0.366666666666667,19.0909090909091,13.6363636363636,162.283996994741,1217.12997746056,93.6055469953775,399.645380966482,0,476.475415273815,0,88.0585516178736,5.54699537750385,181.664098613251,379.338842975207,953.418482344102,349.586776859504,709.992486851991
"1216",0,344.853493613824,736.363636363636,0.366666666666667,16.3636363636364,16.3636363636364,263.711495116454,1383.10224711427,85.2850539291217,417.811080101322,0,714.713122910722,0,89.4453004622496,-4.16024653312789,174.730354391371,334.710743801653,973.703981968445,245.454545454545,872.276483846731
"1217",0,369.140625,689.062500000001,0.266666666666667,11.25,45,263.671875,593.261718750001,81.3829787234043,316.204942349015,0,0,0,76.5957446808511,4.78723404255319,157.978723404255,309.375,1054.6875,140.625,369.140625
"1218",0,518.518518518519,744.444444444445,0.3,10,13.3333333333333,222.222222222222,1234.56790123457,85.2941176470589,348.775944848876,0,0,0,93.1372549019608,-7.84313725490198,178.43137254902,333.333333333333,1259.25925925926,200,962.962962962964
"1219",0,239.66466672146,796.219281663517,0.255555555555555,7.82608695652174,19.5652173913044,239.66466672146,1172.27282635497,75.8330688670264,397.074453136009,0,0,0,86.1155188828944,-10.282450015868,161.948587749921,275.614366729679,1318.15566696803,91.8714555765596,778.910166844745
"1220",0,599.16166680365,689.035916824197,0.255555555555555,11.7391304347826,31.304347826087,179.748500041095,468.909130541987,96.3979688987624,288.781420462552,0,1232.36987585662,0,83.5449063789274,12.853062519835,179.94287527769,398.109640831758,1258.23950028767,260.302457466919,479.32933344292
"1221",0,539.201183431953,694.970414201184,0.288888888888889,20.7692307692308,48.4615384615385,165.908056440601,1292.16851650853,94.0887971089314,317.821901465088,0,0,0,87.8162106350026,6.27258647392877,181.905007743934,383.431952662722,1202.83340919436,251.627218934911,622.155211652254
"1222",0,324,657,0.333333333333333,24,60,216,648,78.5454545454545,351.245454545454,0,1458,0,90,-11.4545454545455,168.545454545455,297,1080,135,810
"1223",0,593.527376348463,658.650519031142,0.377777777777778,15.8823529411765,29.1176470588235,166.929574598005,932.841740400617,88.1865453363666,312.764874561636,0,835.473031539695,0,94.7676308092297,-6.58108547286317,182.954176145596,350.346020761246,1020.12517809892,280.276816608996,964.481986566252
"1224",0,365.297011661808,743.877551020408,0.311111111111111,6.42857142857143,9.64285714285714,298.879373177843,853.941066222408,92.1292083712466,370.553187329476,0,0,0,88.4440400363968,3.68516833484986,180.573248407643,371.938775510204,1129.09985422741,247.959183673469,697.385204081633
"1225",0,290.339098771052,647.041420118343,0.288888888888889,13.8461538461539,27.6923076923077,124.431042330451,861.445677672351,81.5436241610739,341.0771625479,0,0,0,87.8162106350026,-6.27258647392875,169.359834796076,311.538461538462,1202.83340919436,167.751479289941,788.063268092855
"1226",0,398.50583090379,702.551020408163,0.311111111111111,19.2857142857143,41.7857142857143,166.044096209913,1174.16896605581,84.7588717015469,363.427164496217,0,498.050305040431,0,79.2311191992721,5.52775250227479,163.989990900819,330.612244897959,963.055758017493,206.632653061225,431.714650145773
"1227",0,466.560000000001,777.600000000001,0.277777777777778,7.2,14.4,233.28,1679.616,86.0275862068966,365.607084973097,0,0,0,86.0275862068966,0,172.055172413793,336.96,1213.056,207.36,746.496000000001
"1228",0,405,747,0.333333333333333,12,6,243,1539,86.7272727272727,391.009090909091,0,729,0,90,-3.27272727272728,176.727272727273,342,1080,261,864
"1229",0,333.333333333334,777.777777777778,0.3,16.6666666666667,30,333.333333333334,1604.93827160494,85.2941176470589,385.879768768969,95.2496139195591,587.889476778366,1371.74211248285,85.2941176470589,0,170.588235294118,333.333333333333,1111.11111111111,200,629.62962962963
"1230",0,364.500000000001,546.75,0.222222222222222,13.5,45,0,820.125000000001,87.4800000000001,251.029799556395,0,0,0,84.2400000000001,3.23999999999999,171.72,344.25,1458,202.5,546.750000000001
"1231",0,486,756,0.333333333333333,9,9,270,1296,96.5454545454546,371.127272727273,0,364.5,0,83.4545454545455,13.0909090909091,180,396,972,342,621
"1232",0,398.50583090379,702.551020408163,0.311111111111111,16.0714285714286,25.7142857142857,166.044096209913,1280.91159933361,86.6014558689718,363.427164496217,0,996.100610080862,0,81.073703366697,5.52775250227479,167.675159235669,340.94387755102,996.264577259476,196.301020408163,498.132288629738
"1233",0,407.407407407408,711.111111111111,0.3,6.66666666666667,13.3333333333333,296.296296296296,1481.48148148148,100.980392156863,333.934415280839,0,0,0,83.3333333333334,17.6470588235294,184.313725490196,422.222222222222,1074.07407407407,444.444444444445,555.555555555556
"1234",0,421.875000000001,604.6875,0.266666666666667,11.25,18.75,105.46875,197.75390625,86.1702127659575,282.02062425723,0,0,0,100.531914893617,-14.3617021276596,186.702127659575,337.5,1582.03125,182.8125,1476.5625
"1235",0,729,666,0.333333333333333,18,30,189,405,99.8181818181818,265.090909090909,0,1093.5,0,98.1818181818182,1.63636363636364,198,414,1215,459,1080
"1236",0,979.776000000001,738.720000000001,0.277777777777778,14.4,21.6,186.624,503.884800000001,83.7931034482759,259.987260425313,0,2511.67192615385,0,117.310344827586,-33.5172413793104,201.103448275862,324,1866.24,194.4,1912.896
"1237",0,440.468597898694,741.727367325702,0.344444444444444,14.5161290322581,17.4193548387097,146.822865966231,1705.0397338014,84.2622637907998,410.622749686516,0,314.625976029509,0,78.0778774575301,6.18438633326971,162.34014124833,328.720083246618,856.46671813635,227.575442247659,415.998120237656
"1238",0,513,693,0.333333333333333,9,18,243,1377,91.6363636363636,324.736363636363,0,0,0,91.6363636363636,0,183.272727272727,369,1107,270,918
"1239",0,415.998120237656,750.156087408949,0.344444444444444,11.6129032258065,14.5161290322581,220.234298949347,1491.90976707622,87.3544569574346,404.206769222665,0,314.625976029509,0,82.7161672074823,4.63828974995228,170.070624164917,345.577523413111,929.878151119466,286.576482830385,587.291463864926
"1240",0,594,702,0.333333333333333,21,39,189,972,83.4545454545455,324.736363636363,0,1822.5,0,112.909090909091,-29.4545454545455,196.363636363636,324,1458,198,1863
"1241",0,653.184000000001,712.800000000001,0.277777777777778,18,50.4,186.624,839.808000000001,94.9655172413794,300.610269866769,0,837.223975384617,0,94.9655172413794,0,189.931034482759,388.8,1399.68,336.96,1166.4
"1242",0,540,711,0.333333333333333,18,30,243,1134,93.2727272727273,331.363636363636,0,1093.5,0,88.3636363636364,4.90909090909091,181.636363636364,378,1053,333,783
"1243",0,518.518518518519,666.666666666667,0.3,13.3333333333333,23.3333333333333,185.185185185185,740.740740740741,93.1372549019608,304.251356144764,0,587.889476778366,0,95.0980392156863,-1.96078431372548,188.235294117647,377.777777777778,1296.2962962963,288.888888888889,1111.11111111111
"1244",0,419.413166762555,658.412098298678,0.255555555555555,7.82608695652174,15.6521739130435,179.748500041095,0,80.9742938749604,297.805839852006,0,0,0,98.9685814027294,-17.994287527769,179.94287527769,306.238185255199,1617.73650036986,137.807183364839,1138.40716692694
"1245",0,390.625,681.25,0.4,17.5,15,171.875,1171.875,83.3333333333333,411.48088023088,0,488.28125,0,88.0952380952381,-4.76190476190476,171.428571428571,325,874.999999999999,237.5,750
"1246",0,405.709992486852,669.421487603306,0.366666666666667,13.6363636363636,21.8181818181818,202.854996243426,1217.12997746056,85.2850539291217,363.313982696802,0,0,0,85.2850539291217,0,170.570107858243,334.710743801653,912.847483095417,252.892561983471,689.706987227648
"1247",0,398.50583090379,723.214285714286,0.311111111111111,12.8571428571429,22.5,232.461734693878,1067.42633277801,92.1292083712466,363.427164496217,0,996.100610080862,0,81.073703366697,11.0555050045496,173.202911737944,371.938775510204,996.264577259476,247.959183673469,498.132288629738
"1248",0,592.592592592593,744.444444444445,0.3,20,40,259.259259259259,1358.02469135803,87.2549019607844,326.51365049682,95.2496139195591,587.889476778366,1371.74211248285,97.0588235294118,-9.80392156862746,184.313725490196,344.444444444445,1333.33333333333,177.777777777778,1111.11111111111
"1249",0,326.592,686.880000000001,0.277777777777778,7.2,21.6,279.936,1007.7696,90.496551724138,324.984075531642,0,0,0,88.2620689655173,2.23448275862069,178.758620689655,362.88,1259.712,220.32,793.152000000001
"1250",0,464.939075559733,665.868886576483,0.344444444444444,17.4193548387097,26.1290322580645,171.29334362727,994.606511384148,88.9005535407521,340.046964584147,0,629.251952059018,0,90.4466501240695,-1.54609658331742,179.347203664822,354.006243496358,1052.23053942466,261.290322580645,905.407673458427
